noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'sam.SAM'>,,0.9240321402483564,11.81215290589766,713.001953125,277.74602873660484
0.0,128,<class 'sam.SAM'>,,0.9327976625273923,10.080392609943043,2030.072265625,193.14117015719773
0.0,256,<class 'sam.SAM'>,,0.912344777209642,6.112079111012545,2532.26318359375,113.64101169095339
0.0,512,<class 'sam.SAM'>,,0.9422936449963477,3.7335826700383965,469.15655517578125,76.31533926650289
0.0,1024,<class 'sam.SAM'>,,0.9298758217677137,6.317146870222959,656.0526733398438,142.13362047793123
0.0,1369,<class 'sam.SAM'>,,0.9386413440467495,8.644740830768239,1915.234375,171.77544203625945
0.5,64,<class 'sam.SAM'>,,0.6581446311176041,5.3842548890547315,980.2730712890625,111.33440554666424
0.5,128,<class 'sam.SAM'>,,0.6515704894083273,6.009984168139371,1030.301025390625,134.97473463176283
0.5,256,<class 'sam.SAM'>,,0.6303871439006574,5.825001066381281,1052.4998779296875,146.5436317917641
0.5,512,<class 'sam.SAM'>,,0.6471877282688093,8.44913387298584,1017.9229736328125,230.6600465884976
0.5,1024,<class 'sam.SAM'>,,0.6471877282688093,3.5981601151553066,545.5877075195312,80.74494296167619
0.5,1369,<class 'sam.SAM'>,,0.589481373265157,4.6062093864787705,1233.95703125,97.93274574056841
1.0,64,<class 'sam.SAM'>,,0.3608473338203068,4.617136283354326,707.3240966796875,98.90983687511064
1.0,128,<class 'sam.SAM'>,,0.35719503287070853,4.451859604228627,1024.83544921875,73.45995707739536
1.0,256,<class 'sam.SAM'>,,0.37034331628926226,3.8664667823097925,795.0982666015625,65.92443706867046
1.0,512,<class 'sam.SAM'>,,0.38130021913805695,4.265388792211359,786.4848022460938,75.10580625958416
1.0,1024,<class 'sam.SAM'>,,0.35719503287070853,3.8632937344637783,668.6672973632812,82.62642162557835
1.0,1369,<class 'sam.SAM'>,,0.3696128560993426,3.766269943930886,1139.914794921875,77.4847809885682
2.0,64,<class 'sam.SAM'>,,0.21694667640613585,2.8345796411687676,655.320068359375,59.07957168376304
2.0,128,<class 'sam.SAM'>,,0.21183345507669832,2.636458310213956,432.34686279296875,58.49191825161018
2.0,256,<class 'sam.SAM'>,,0.2089116143170197,2.6594028906388716,513.5202026367188,57.75102374441528
2.0,512,<class 'sam.SAM'>,,0.21183345507669832,3.1006734587929468,757.0133056640625,79.32449477892888
2.0,1024,<class 'sam.SAM'>,,0.20525931336742148,2.5807398449290884,874.3239135742188,60.02258322219278
2.0,1369,<class 'sam.SAM'>,,0.2089116143170197,1.5293623967604204,313.0931701660156,27.498348680024474
