noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,bulk_eigen
0.0,1,<class 'sam.SAM'>,,0.8075786079011018,32.43170886437098,419.9317932128906,-1.2101347623843066
0.0,931,<class 'sam.SAM'>,,0.6549314700349368,60.111487666765846,2743.78564453125,-11.665149257197662
0.0,1861,<class 'sam.SAM'>,,0.8328406342381081,16.617469414075217,226.4289093017578,-1.3740891566256135
0.0,2791,<class 'sam.SAM'>,,0.6624563289438323,5.273945347468058,863.0498657226562,3.2000903887701573
0.0,3721,<class 'sam.SAM'>,,0.8761085729642569,13.310172204176585,509.7049560546875,-2.214941174535966
0.5,1,<class 'sam.SAM'>,,0.7804353668368718,37.515730154514316,2518.849365234375,-7.58218006636571
0.5,931,<class 'sam.SAM'>,,0.7210427304488041,5.676907865206401,1381.245361328125,12.763854724821746
0.5,1861,<class 'sam.SAM'>,,0.7911851652781511,37.036749315261844,10572.451171875,45.81611296186334
0.5,2791,<class 'sam.SAM'>,,0.5589895189465197,51.15349178314209,474.742431640625,-0.8933908866819957
0.5,3721,<class 'sam.SAM'>,,0.8962644450416555,19.208079874515533,423.173828125,-1.134834239543636
1.0,1,<class 'sam.SAM'>,,0.6562751948400968,9.225781611601512,1395.37451171875,-9.4615129934412
1.0,931,<class 'sam.SAM'>,,0.6756248320343994,15.45501177708308,411.2662658691406,-1.4871340422883486
1.0,1861,<class 'sam.SAM'>,,0.6167696855683956,29.147897203763325,603.09130859375,-1.2187043882271829
1.0,2791,<class 'sam.SAM'>,,0.7051867777479173,10.395280090967814,391.1866455078125,-1.3684098378926342
1.0,3721,<class 'sam.SAM'>,,0.7067992475141092,29.48199178377787,477.05517578125,-1.29502024071812
2.0,1,<class 'sam.SAM'>,,0.3571620532115023,14.431203484535217,1576.2135009765625,-5.743375910083313
2.0,931,<class 'sam.SAM'>,,0.3528621338349906,8.722205408414204,240.6537628173828,-1.1702144867222841
2.0,1861,<class 'sam.SAM'>,,0.41709217952163397,7.151334802309672,737.19775390625,5.912375238680081
2.0,2791,<class 'sam.SAM'>,,0.43375436710561677,24.069823344548542,642.2088623046875,-3.2702980035142972
2.0,3721,<class 'sam.SAM'>,,0.4264982531577533,10.16904001235962,308.22772216796875,-1.312979562250274
