noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,bulk_eigen
0.0,1,<class 'sam.SAM'>,,0.918918918918919,7.401493115858599,466.7215270996094,6.5267241574297215
0.0,343,<class 'sam.SAM'>,,0.9043097151205259,3.7531494227322666,511.38525390625,2.3890010334662577
0.0,685,<class 'sam.SAM'>,,0.9101533966398831,3.6699082526293667,422.6788635253906,2.7869193075933634
0.0,1027,<class 'sam.SAM'>,,0.9079620160701242,2.923265820199793,504.81085205078125,2.5370793615200844
0.0,1369,<class 'sam.SAM'>,,0.9225712198685172,3.385613040490584,431.592041015625,2.29758281505723
0.5,1,<class 'sam.SAM'>,,0.7837837837837838,6.928194452415813,964.7404174804688,6.901447252011346
0.5,343,<class 'sam.SAM'>,,0.7414170927684441,2.801904179833152,406.8909606933594,2.3208670672466427
0.5,685,<class 'sam.SAM'>,,0.7392257121986852,2.815242046659643,371.0201416015625,2.0615290101196897
0.5,1027,<class 'sam.SAM'>,,0.7786705624543463,3.0329035141251306,386.524169921875,3.05570211400018
0.5,1369,<class 'sam.SAM'>,,0.7377647918188459,2.759570771997625,532.54443359375,3.388134240697415
1.0,1,<class 'sam.SAM'>,,0.43243243243243246,3.619056322357871,732.1928100585938,3.950433226424219
1.0,343,<class 'sam.SAM'>,,0.42512783053323594,3.2506304437463935,700.81884765625,3.595239450200475
1.0,685,<class 'sam.SAM'>,,0.46895544192841493,3.4643648971210825,678.0338134765625,3.67666762481257
1.0,1027,<class 'sam.SAM'>,,0.4112490869247626,3.5880567594008013,749.700439453125,4.721724594780617
1.0,1369,<class 'sam.SAM'>,,0.45361577794010227,4.027059175751426,816.3034057617188,114.89381442302633
2.0,1,<class 'sam.SAM'>,,0.22132943754565376,3.3235773173245517,750.0299682617188,3.1902116234537647
2.0,343,<class 'sam.SAM'>,,0.23301680058436816,2.1019894643263384,569.0611572265625,2.6081961746634397
2.0,685,<class 'sam.SAM'>,,0.2366691015339664,2.5689529288898814,666.6948852539062,4.233735649102149
2.0,1027,<class 'sam.SAM'>,,0.22571219868517164,3.7275308912450615,1514.417236328125,6.054131579491548
2.0,1369,<class 'sam.SAM'>,,0.2381300219138057,2.2652568600394507,497.94830322265625,2.5469841453192243
