noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'sam.SAM'>,,0.9985390796201608,10.475120067596436,1437.559814453125,306.3729944163509
0.0,128,<class 'sam.SAM'>,,0.9890430971512053,8.723796606063843,1010.6317749023438,214.23795840749588
0.0,256,<class 'sam.SAM'>,,0.9663988312636961,6.713013724847273,756.321533203125,148.2143622742305
0.0,512,<class 'sam.SAM'>,,0.9240321402483564,11.81215290589766,713.001953125,277.74602873660484
0.0,1024,<class 'sam.SAM'>,,0.902118334550767,4.781965559179133,480.9090576171875,97.95060619195213
0.0,1369,<class 'sam.SAM'>,,0.8013148283418554,4.518928896297108,1275.8402099609375,115.18119680330562
0.5,64,<class 'sam.SAM'>,,0.7129291453615778,6.475436449050903,1425.2666015625,128.828602227212
0.5,128,<class 'sam.SAM'>,,0.6515704894083273,5.794314536181363,580.04541015625,167.51378400582317
0.5,256,<class 'sam.SAM'>,,0.647918188458729,5.545876958153465,645.7200927734375,137.62131219893882
0.5,512,<class 'sam.SAM'>,,0.6581446311176041,5.3842548890547315,980.2730712890625,111.33440554666424
0.5,1024,<class 'sam.SAM'>,,0.5960555149744339,3.012270602312955,382.2197265625,62.64390700522507
0.5,1369,<class 'sam.SAM'>,,0.6391526661796932,4.7983012199401855,1169.796142578125,135.88601758384223
1.0,64,<class 'sam.SAM'>,,0.42951059167275385,3.658206744627519,484.0426025390625,58.97101263695648
1.0,128,<class 'sam.SAM'>,,0.36523009495982467,4.516763253645464,639.638671875,108.4457234468073
1.0,256,<class 'sam.SAM'>,,0.36888239590942296,3.6316860805858266,607.4944458007812,105.90797221815885
1.0,512,<class 'sam.SAM'>,,0.3608473338203068,4.617136283354326,707.3240966796875,98.90983687511064
1.0,1024,<class 'sam.SAM'>,,0.38349159970781593,4.980870528654619,1696.122314453125,98.39187488548124
1.0,1369,<class 'sam.SAM'>,,0.3579254930606282,3.524221572009,622.3299560546875,69.97066234265044
2.0,64,<class 'sam.SAM'>,,0.23593864134404674,2.8496985218741675,383.01348876953125,67.80102381587203
2.0,128,<class 'sam.SAM'>,,0.21110299488677867,3.558743650263006,821.5902709960938,93.88442169019339
2.0,256,<class 'sam.SAM'>,,0.21475529583637692,2.386125391179865,693.2410888671875,90.19725276079815
2.0,512,<class 'sam.SAM'>,,0.21694667640613585,2.8345796411687676,655.320068359375,59.07957168376304
2.0,1024,<class 'sam.SAM'>,,0.21329437545653762,2.765381162816828,594.4110717773438,74.38205109372704
2.0,1369,<class 'sam.SAM'>,,0.20672023374726078,1.360532370480624,202.28768920898438,26.376744330753926
