noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'sam.SAM'>,,0.8941144853533997,86.01754807631174,8657.349609375,12155.311563691856
0.0,128,<class 'sam.SAM'>,,0.7519484009674818,80.52060537934304,7699.20068359375,7482.854999917049
0.0,256,<class 'sam.SAM'>,,0.8062348830959419,19.654680305719374,9238.8623046875,1837.366711355125
0.0,512,<class 'sam.SAM'>,,0.6565439398011287,18.11969683567683,261.0933837890625,2048.0297507627297
0.0,1024,<class 'sam.SAM'>,,0.570276807309863,6.057665125528971,174.22360229492188,480.3143158303501
0.0,2048,<class 'sam.SAM'>,,0.3087879602257458,14.995604181289673,474.7439270019531,1140.6687860351517
0.0,3721,<class 'sam.SAM'>,,0.18570276807309863,17.36397377649943,91.19026947021484,1415.1041646750502
0.5,64,<class 'sam.SAM'>,,0.8288094598226283,15.236531098683676,455.64105224609375,2586.6880095398883
0.5,128,<class 'sam.SAM'>,,0.7140553614619726,48.03821467359861,7223.6376953125,5212.930289055
0.5,256,<class 'sam.SAM'>,,0.5740392367643107,43.816933830579124,5391.65625,3661.5937298499634
0.5,512,<class 'sam.SAM'>,,0.5530771298038162,7.841959041357041,274.0737609863281,686.6108007365057
0.5,1024,<class 'sam.SAM'>,,0.486428379467885,6.3953935662905375,195.56793212890625,452.60214385006213
0.5,2048,<class 'sam.SAM'>,,0.29105079279763507,11.33286006450653,177.50930786132812,881.4292252319489
0.5,3721,<class 'sam.SAM'>,,0.13867239989250202,14.667868995666504,104.95668029785156,1150.5067607162864
1.0,64,<class 'sam.SAM'>,,0.6151572158022037,17.00005275805791,2053.29150390625,2411.0452062904606
1.0,128,<class 'sam.SAM'>,,0.5251276538564902,58.32548186977704,5062.93359375,5328.5361574592425
1.0,256,<class 'sam.SAM'>,,0.5331900026874496,19.91847496132056,1553.695068359375,1371.3590435921894
1.0,512,<class 'sam.SAM'>,,0.48132222520827733,7.07245687643687,316.4666748046875,540.4539165335208
1.0,1024,<class 'sam.SAM'>,,0.39398011287288365,6.860492372512818,777.0186767578125,457.284598114366
1.0,2048,<class 'sam.SAM'>,,0.16877183552808384,19.899280107021333,308.1004638671875,1550.5830853996272
1.0,3721,<class 'sam.SAM'>,,0.18382155334587477,5.517388339837392,167.7122039794922,404.203364408264
2.0,64,<class 'sam.SAM'>,,0.38968019349637195,32.77481726408005,2095.28125,4792.562170541368
2.0,128,<class 'sam.SAM'>,,0.31604407417360925,31.620294737815858,309.83251953125,3510.769246426915
2.0,256,<class 'sam.SAM'>,,0.3447997850040312,19.7181587378184,329.56890869140625,1554.85913770851
2.0,512,<class 'sam.SAM'>,,0.23300188121472723,5.985176467895508,461.32110595703125,387.0947376884917
2.0,1024,<class 'sam.SAM'>,,0.2528890083310938,35.180618810653684,358.8147888183594,3041.07136555214
2.0,2048,<class 'sam.SAM'>,,0.21338349905939263,23.797150389353433,464.05242919921875,1791.5985122512848
2.0,3721,<class 'sam.SAM'>,,0.18516527815103467,18.341119333108267,259.0655212402344,1420.8247137936364
