noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,bulk_eigen
0.0,1,<class 'sam.SAM'>,,0.6835217132659132,1.5753479855401176,310.2005615234375,2.7098129511899725
0.0,421,<class 'sam.SAM'>,,0.711481261154075,1.5987513618809837,178.15145874023438,3.0955070497659114
0.0,841,<class 'sam.SAM'>,,0.6162998215348007,0.7163476092474801,161.37814331054688,6.032610135605813
0.0,1261,<class 'sam.SAM'>,,0.6287923854848304,2.5557390451431274,402.9268798828125,5.635913490310645
0.0,1681,<class 'sam.SAM'>,,0.6157049375371803,2.087934362036841,212.42010498046875,1.9367401156604622
0.5,1,<class 'sam.SAM'>,,0.3914336704342653,1.8713552015168327,148.86154174804688,2.7091074873195296
0.5,421,<class 'sam.SAM'>,,0.6151100535395598,1.2758391967841558,212.31756591796875,2.7307103859453563
0.5,841,<class 'sam.SAM'>,,0.5800118976799524,13.922495254448481,788.0870361328125,3.5509969701611617
0.5,1261,<class 'sam.SAM'>,,0.5395597858417609,1.8727393746376038,208.79293823242188,3.5203539841222717
0.5,1681,<class 'sam.SAM'>,,0.5008923259964307,3.141613636698042,456.275634765625,-1.8183466664655907
1.0,1,<class 'sam.SAM'>,,0.4283164782867341,5.538827248982021,164.009521484375,-1.2349575076224548
1.0,421,<class 'sam.SAM'>,,0.3652587745389649,1.1804876838411604,309.9794921875,4.016543603915192
1.0,841,<class 'sam.SAM'>,,0.40095181439619276,9.202197807175773,213.90362548828125,-0.966593860402694
1.0,1261,<class 'sam.SAM'>,,0.40749553837001784,1.230209265436445,159.31980895996094,2.0539346588366327
1.0,1681,<class 'sam.SAM'>,,0.40095181439619276,1.3226248025894165,183.65411376953125,2.539465347332655
2.0,1,<class 'sam.SAM'>,,0.22248661511005355,1.444981404713222,192.6990966796875,2.4514212056092535
2.0,421,<class 'sam.SAM'>,,0.22724568709101725,0.9752377612250192,163.2854461669922,2.2831994524285575
2.0,841,<class 'sam.SAM'>,,0.23973825104104698,2.418231351034982,450.4902648925781,3.0196043496217433
2.0,1261,<class 'sam.SAM'>,,0.19274241522903035,1.0698011262076241,170.19674682617188,2.231103106478132
2.0,1681,<class 'sam.SAM'>,,0.25163593099345627,1.292507529258728,218.0261993408203,2.4738940310403597
