noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,bulk_eigen
0.0,1,<class 'sam.SAM'>,,0.918918918918919,7.401493115858599,466.7215270996094,6.5267241574297215
0.0,343,<class 'sam.SAM'>,,0.8948137326515705,3.879867044362155,828.1585083007812,5.117971678408393
0.0,685,<class 'sam.SAM'>,,0.9276844411979547,4.983794299038974,650.5990600585938,3.296825023471064
0.0,1027,<class 'sam.SAM'>,,0.9065010956902849,4.0816497802734375,616.988525390625,2.5187095423898582
0.0,1369,<class 'sam.SAM'>,,0.9138056975894814,4.879678401080045,811.419921875,4.294122929135995
0.5,1,<class 'sam.SAM'>,,0.7852447041636231,5.488444024866277,1048.422607421875,6.24695073332052
0.5,343,<class 'sam.SAM'>,,0.7618699780861943,2.5485692999579688,326.44793701171875,2.5308658069599104
0.5,685,<class 'sam.SAM'>,,0.7669831994156319,2.5080203143033115,313.70849609375,2.268150627389801
0.5,1027,<class 'sam.SAM'>,,0.7786705624543463,2.0962453213605015,325.0265808105469,2.1350008589740943
0.5,1369,<class 'sam.SAM'>,,0.7735573411249087,2.592183671214364,394.8844299316406,1.9487361562124716
1.0,1,<class 'sam.SAM'>,,0.41490138787436087,3.1680070486935703,414.8512878417969,2.7271351598162523
1.0,343,<class 'sam.SAM'>,,0.4674945215485756,1.8691440170461482,316.7722473144531,2.040300883649405
1.0,685,<class 'sam.SAM'>,,0.4390065741417093,2.1308439753272315,284.05438232421875,2.2275805275462806
1.0,1027,<class 'sam.SAM'>,,0.4112490869247626,3.999017672105269,877.2667236328125,4.972922346623856
1.0,1369,<class 'sam.SAM'>,,0.4346238130021914,4.2198284756053575,1077.9061279296875,5.436199034712518
2.0,1,<class 'sam.SAM'>,,0.22717311906501095,2.096132668581876,985.0338134765625,4.707877284413647
2.0,343,<class 'sam.SAM'>,,0.21621621621621623,2.988652229309082,538.4568481445312,2.6977448936289115
2.0,685,<class 'sam.SAM'>,,0.239590942293645,2.8727067600597036,3000.153564453125,7.6118248552260175
2.0,1027,<class 'sam.SAM'>,,0.23739956172388604,2.57195689461448,1208.5511474609375,4.139480334914696
2.0,1369,<class 'sam.SAM'>,,0.239590942293645,2.0707184184681284,601.419189453125,3.121854689228413
