noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,bulk_eigen
0.0,1,<class 'sam.SAM'>,29100,1.0,0.5894424114376307,587.857421875,23.26053078762005
0.0,43,<class 'sam.SAM'>,,0.9940828402366864,1.3521747887134552,811.2623291015625,21.408326321128992
0.0,85,<class 'sam.SAM'>,14700,1.0,0.8451835438609123,667.9883422851562,16.634229805996675
0.0,127,<class 'sam.SAM'>,24350,1.0,0.2977916616946459,745.6339111328125,-3.9142862956022513
0.0,169,<class 'sam.SAM'>,23350,1.0,1.1089417561888695,839.7501220703125,-20.603821809858573
0.5,1,<class 'sam.SAM'>,,0.6094674556213018,0.8804421424865723,369.2501220703125,4.279427103135936
0.5,43,<class 'sam.SAM'>,,0.6272189349112426,0.545846700668335,457.0816650390625,-4.245364408150053
0.5,85,<class 'sam.SAM'>,,0.650887573964497,0.6029727458953857,372.9739990234375,5.595395898731199
0.5,127,<class 'sam.SAM'>,,0.6035502958579881,0.8796877264976501,584.8759765625,-1.5931315151195746
0.5,169,<class 'sam.SAM'>,,0.6153846153846154,0.7973594665527344,579.9083862304688,3.7982287933366026
1.0,1,<class 'sam.SAM'>,,0.34911242603550297,1.0908801555633545,395.85467529296875,3.427957187024395
1.0,43,<class 'sam.SAM'>,,0.33727810650887574,1.3265647888183594,647.0701293945312,3.126347333819122
1.0,85,<class 'sam.SAM'>,,0.34911242603550297,1.0643181800842285,258.61944580078125,3.5469180379877963
1.0,127,<class 'sam.SAM'>,,0.3431952662721893,0.779557466506958,574.7071533203125,-2.602813891106428
1.0,169,<class 'sam.SAM'>,,0.3668639053254438,1.1583601236343384,271.6545715332031,2.642671404028202
2.0,1,<class 'sam.SAM'>,,0.15384615384615385,1.4388856887817383,233.30096435546875,1.5316131882354296
2.0,43,<class 'sam.SAM'>,,0.17751479289940827,0.9597206115722656,232.48089599609375,2.3679909382685866
2.0,85,<class 'sam.SAM'>,,0.1893491124260355,1.2197914123535156,188.08934020996094,1.6832356035906029
2.0,127,<class 'sam.SAM'>,,0.1893491124260355,1.0753705501556396,959.4189453125,-1.4536420812622166
2.0,169,<class 'sam.SAM'>,,0.17751479289940827,1.4034714698791504,345.420654296875,3.1334756842158007
